CLASSE,ESPECIFICACAO,ESPECIFICACOES_CORRELATAS
1,Acetileno,Cl.7: Aparelhos para purificação de acetileno | Cl.11: Queimadores de acetileno | Cl.11: Geradores de acetileno | Cl.11: Chamas de acetileno
1,Tetracloreto de acetileno,Cl.7: Aparelhos para purificação de acetileno | Cl.11: Queimadores de acetileno | Cl.11: Geradores de acetileno | Cl.11: Chamas de acetileno
1,Ácidos *,Cl.5: Ácidos para uso farmacêutico | Cl.6: Recipientes de metal para armazenar ácidos
1,Preparações químicas de condensação,Cl.3: Preparações depilatórias | Cl.3: Preparações fitocosméticas | Cl.5: Preparações para hemorróidas | Cl.5: Preparações antiparasitárias | Cl.5: Preparações antiúricas | Cl.5: Preparações vitamínicas* | Cl.5: Preparações para frieiras | Cl.5: Preparações para facilitar a dentição | Cl.5: Preparações para matar camundongos | Cl.5: Preparações anticriptogâmicas | Cl.5: Preparações químicas para diagnóstico de gravidez | Cl.5: Preparações para exterminar lesmas | Cl.5: Preparações químicas para tratar mofo | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações para organoterapia | Cl.5: Preparações para organoterapia | Cl.5: Preparações químicas para tratar filoxera | Cl.5: Preparações químicas para tratar doenças da vinha | Cl.5: Preparações químicas para uso farmacêutico | Cl.5: Preparações químicas para uso medicinal | Cl.5: Preparações químicas para uso veterinário | Cl.5: Preparações broncodilatadoras | Cl.5: Preparações químicas para tratar doenças de plantas cerealíferas | Cl.5: Preparações dermatológicas | Cl.7: Instalações de condensação
1,Composições químicas à prova de ácidos,Cl.5: Ácidos para uso farmacêutico | Cl.9: Coletes à prova de bala | Cl.17: Composições para calafetar | Cl.17: Composições químicas para vedar vazamentos
1,Preparações para acabamento usadas na manufatura do aço,Cl.6: Aço fundido | Cl.7: Máquinas para acabamento
1,Aditivos químicos para lamas de perfuração,"Cl.4: Aditivos, não químicos, para combustível para motores | Cl.12: Para-lamas | Cl.12: Para-lamas de ciclos e ciclomotores [veículos]"
1,Aditivos químicos para combustível,"Cl.4: Combustível* | Cl.4: Aditivos, não químicos, para combustível para motores | Cl.4: Etanol [combustível]"
1,Aditivos detergentes para gasolina,"Cl.4: Gasolina | Cl.5: Detergentes para uso médico | Cl.9: Medidores de gasolina | Cl.20: Latões de gasolina, não metálicos"
1,Preparações adesivas para ataduras cirúrgicas,"Cl.5: Ataduras para curativos | Cl.5: Colas cirúrgicas | Cl.6: Ataduras de metal para feixes | Cl.10: Algálias [sonda, cateter] cirúrgicas | Cl.10: Esponjas cirúrgicas | Cl.10: Ataduras para engessar para uso ortopédico"
1,Preparações para abrandar água,"Cl.3: Água de colônia [eau de cologne] | Cl.3: Água de javel [solução à base de cloro diluído] | Cl.3: Água de cheiro para perfumar | Cl.3: Água de toalete [eaux de toilette] | Cl.3: Preparações depilatórias | Cl.3: Preparações para o cuidado das unhas | Cl.3: Preparações para bronzear [cosméticos] | Cl.3: Preparações para proteção solar | Cl.3: Preparações polidoras para calçados | Cl.3: Preparações fitocosméticas | Cl.3: Água micelar | Cl.3: Algodão impregnado com preparações demaquilantes | Cl.5: Preparações para purificar o ar | Cl.5: Preparações para hemorróidas | Cl.5: Preparações antiparasitárias | Cl.5: Preparações antiúricas | Cl.5: Preparações terapêuticas para banhos | Cl.5: Preparações vitamínicas* | Cl.5: Preparações para frieiras | Cl.5: Preparações para facilitar a dentição | Cl.5: Preparações para matar camundongos | Cl.5: Água de melissa para uso farmacêutico | Cl.5: Água termal | Cl.5: Preparações anticriptogâmicas | Cl.5: Preparações para exterminar lesmas | Cl.5: Preparações para organoterapia | Cl.5: Preparações para organoterapia | Cl.5: Preparações broncodilatadoras | Cl.5: Preparações dermatológicas | Cl.7: Desgaseificadores para água de alimentação | Cl.7: Aparelhos para gaseificar água | Cl.9: Varinhas de adivinho para encontrar água | Cl.9: Aparelhos de ionização, exceto para tratamento de ar e água | Cl.11: Aquecedores de água* | Cl.11: Instalações para distribuição de água | Cl.11: Tanques de água sob pressão | Cl.11: Esterilizadores de água | Cl.11: Aparelhos de ionização para tratamento de ar ou água | Cl.11: Aparelhos e instalações para abrandamento da água | Cl.11: Instalações para fornecimento de água | Cl.11: Aparelho para entrada de água | Cl.11: Bolsas de água quente | Cl.11: Máquinas de café com purificadores de água | Cl.16: Buril para gravar água-forte | Cl.17: Mangueiras de água | Cl.19: Caixa para construção debaixo d'água | Cl.19: Encanamentos não metálicos de água | Cl.30: Gelo [água congelada] | Cl.30: Água de flor de laranjeira para uso alimentar | Cl.32: Água litinada | Cl.32: Água de seltz | Cl.32: Água de soda | Cl.33: Água de seltz alcoólica | Cl.39: Fornecimento de água | Cl.39: Distribuição de água | Cl.42: Análise da água"
1,Goma tragacanta para uso industrial [alcatira],Cl.3: Goma de amido para brilho [lavanderia] | Cl.3: Goma de amido para lavanderia | Cl.4: Geleia de petróleo para uso industrial | Cl.4: Óleo de peixe para uso industrial | Cl.4: Óleo de colza para uso industrial | Cl.4: Óleo de ossos para uso industrial | Cl.4: Óleo de girassol para uso industrial | Cl.4: Óleo de rícino para uso industrial | Cl.7: Máquinas dispensadoras de fita para uso industrial | Cl.7: Máquinas de cigarros para uso industrial | Cl.7: Máquinas para selecionar de uso industrial | Cl.7: Máquinas para sucção para uso industrial | Cl.7: Prensas [máquinas para uso industrial] | Cl.7: Aparelhos e máquinas para encadernação para uso industrial | Cl.7: Máquinas para selar [lacrar] de uso industrial | Cl.7: Cortadoras [máquinas] para uso industrial | Cl.7: Vibradores [máquinas] para uso industrial | Cl.7: Máquinas para aplicação de goma | Cl.7: Máquinas de liberação de fluidos para uso industrial | Cl.9: Detectores de metal para uso industrial ou militar | Cl.9: Aparelhos para radiologia para uso industrial | Cl.9: Telas radiológicas para uso industrial | Cl.11: Aparelhos de cromatografia para uso industrial | Cl.17: Goma bruta ou semitrabalhada
1,Carvão ativado,Cl.2: Negro de carvão [pigmento] | Cl.4: Carvão vegetal [combustível] | Cl.4: Briquetes de carvão | Cl.4: Carvão [combustível] | Cl.4: Nafta de carvão | Cl.4: Pó de carvão [combustível] | Cl.4: Carvão para narguilé | Cl.5: Carvão vegetal para uso farmacêutico | Cl.7: Escovas de carvão [eletricidade] | Cl.7: Máquinas cortadoras de carvão | Cl.11: Carvão para lâmpadas de arco | Cl.16: Lápis de carvão
1,Gases propulsores para aerossóis,"Cl.5: Gases para uso medicinal | Cl.7: Motores propulsores, exceto para veículos terrestres | Cl.12: Propulsores a hélice para barcos | Cl.12: Propulsores de hélice | Cl.24: Tecidos impermeáveis a gases para balões aeronáuticos"
1,Agentes redutores para uso em fotografia,Cl.5: Sicativos [agentes secantes] para uso medicinal | Cl.9: Redutores [eletricidade] | Cl.9: Disparadores de obturador [fotografia] | Cl.9: Obturadores [fotografia] | Cl.9: Escorredores para uso em fotografia | Cl.9: Flash [fotografia] | Cl.41: Fotografia
1,Substâncias adesivas para cartazes,Cl.3: Substâncias adesivas para fixar cabelos postiços | Cl.3: Substâncias adesivas para fixar cílios postiços | Cl.3: Substâncias adesivas para uso cosmético | Cl.5: Substâncias hemostáticas [estípticos] | Cl.16: Cartazes [pôsteres] | Cl.16: Substâncias adesivas [colas] para papelaria ou uso doméstico | Cl.16: Gomas [substâncias adesivas] para papelaria ou uso doméstico | Cl.35: Aluguel de cartazes/outdoors publicitários
1,Ágar-ágar para uso industrial,"Cl.4: Cera industrial | Cl.4: Geleia de petróleo para uso industrial | Cl.4: Óleo de peixe para uso industrial | Cl.4: Óleo de colza para uso industrial | Cl.4: Óleo de ossos para uso industrial | Cl.4: Óleo de girassol para uso industrial | Cl.4: Óleo industrial | Cl.4: Óleo de rícino para uso industrial | Cl.7: Máquinas dispensadoras de fita para uso industrial | Cl.7: Máquinas de cigarros para uso industrial | Cl.7: Máquinas para selecionar de uso industrial | Cl.7: Máquinas para sucção para uso industrial | Cl.7: Prensas [máquinas para uso industrial] | Cl.7: Aparelhos e máquinas para encadernação para uso industrial | Cl.7: Máquinas para selar [lacrar] de uso industrial | Cl.7: Cortadoras [máquinas] para uso industrial | Cl.7: Vibradores [máquinas] para uso industrial | Cl.7: Máquinas de liberação de fluidos para uso industrial | Cl.9: Detectores de metal para uso industrial ou militar | Cl.9: Luvas para proteção contra raios x, para uso industrial | Cl.9: Aparelhos para radiologia para uso industrial | Cl.9: Telas radiológicas para uso industrial | Cl.11: Aparelhos de cromatografia para uso industrial | Cl.42: Desenho industrial | Cl.42: Estilismo [desenho industrial]"
1,Composições para reparar câmaras-de-ar de pneus,"Cl.9: Câmaras de descompressão | Cl.10: Espaçadores para inaladores | Cl.11: Reaquecedores de ar | Cl.11: Câmaras frigoríficas | Cl.11: Fritadeiras a ar | Cl.12: Câmaras de ar para pneumáticos | Cl.12: Equipamentos para conserto de câmaras de ar [pneumáticos] | Cl.12: Banda de rodagem para recauchutar pneus | Cl.12: Pneus | Cl.12: Remendos adesivos para consertar câmaras de ar | Cl.12: Câmaras de ar para pneu de bicicletas | Cl.12: Pneus sem câmara de ar para ciclos e ciclomotores [veículos] | Cl.12: Câmara tipo mousse para pneus | Cl.17: Composições químicas para vedar vazamentos | Cl.19: Câmaras mortuárias, não metálicas, para sepultamento | Cl.28: Câmaras de ar de bolas para jogos | Cl.37: Recauchutagem de pneus | Cl.37: Balanceamento de pneus"
1,"Albumina [animal ou vegetal, matéria-prima]",Cl.4: Cera [matéria-prima] | Cl.5: Jalapa [vegetal] | Cl.31: Pólen [matéria-prima] | Cl.31: Bagaços de cana-de-açúcar [matéria-prima]
1,Albumina iodada,Cl.5: Alimentos à base de albumina para uso medicinal | Cl.5: Preparações à base de albumina para uso medicinal | Cl.5: Suplementos alimentares de albumina
1,Albumina de malte,Cl.2: Malte caramelo [corante alimentar] | Cl.2: Corantes de malte | Cl.5: Alimentos à base de albumina para uso medicinal | Cl.5: Preparações à base de albumina para uso medicinal | Cl.5: Malte para uso farmacêutico | Cl.5: Suplementos alimentares de albumina | Cl.11: Torrefadores de malte | Cl.30: Biscoitos de malte | Cl.30: Extrato de malte para uso alimentar | Cl.31: Malte para cervejaria e destilaria | Cl.32: Malte [cerveja] | Cl.32: Mosto de malte
1,Papel albuminado,"Cl.2: Papel para tingir ovos | Cl.3: Papel para polir | Cl.3: Lixa com costado de papel [lixa de papel] | Cl.3: Papel abrasivo | Cl.5: Papel apanha-moscas | Cl.5: Papel para cataplasmas de mostarda | Cl.5: Papel para cataplasmas de mostarda | Cl.5: Papel antitraça | Cl.5: Papel reagente para uso médico | Cl.7: Máquinas para fabricação de papel | Cl.16: Papel * | Cl.16: Quadros de avisos, de papel ou papelão | Cl.16: Grampos para papel | Cl.16: Grampos para papel | Cl.16: Papel para decalque | Cl.16: Papel carbono | Cl.16: Papel para máquinas registradoras | Cl.16: Folhas de papel [papelaria] | Cl.16: Papel higiênico | Cl.16: Cartuchos de papel, de forma cônica | Cl.16: Embalagens de papel para cremes | Cl.16: Colchetes para papel | Cl.16: Papel para embrulho | Cl.16: Papel para embrulho | Cl.16: Papel para eletrocardiógrafos | Cl.16: Estatuetas de papel machê | Cl.16: Filtro de papel | Cl.16: Papel de carta | Cl.16: Pesos para papel | Cl.16: Papel luminoso | Cl.16: Papel machê | Cl.16: Blocos de papel em múltiplas vias [papelaria] | Cl.16: Lenços de papel | Cl.16: Toalhas de papel para mesa | Cl.16: Clipes de papel | Cl.16: Papel-pergaminho | Cl.16: Vincadores de papel [material de escritório] | Cl.16: Papel para cobrir vasos de flores | Cl.16: Papel para radiogramas | Cl.16: Descansos de papel redondos para mesa | Cl.16: Babadores de papel | Cl.16: Caixas de papel ou papelão | Cl.16: Bandeiras [de papel] | Cl.16: Fragmentadoras de papel [artigos de escritório] | Cl.16: Lenços de papel para retirar maquiagem | Cl.16: Guardanapos de papel | Cl.16: Jogo americano de papel para mesa | Cl.16: Letreiros de papel ou cartão | Cl.16: Papel toalha | Cl.16: Toalhas de rosto, de papel | Cl.16: Etiquetas de papel ou papelão | Cl.16: Filtros de papel para café | Cl.16: Sinalizadores de papel ou papelão | Cl.16: Papel para cópias [papelaria] | Cl.16: Papel encerado | Cl.16: Revestimento de papel para gavetas [perfumado ou não] | Cl.16: Enchimento de papel ou papelão | Cl.16: Papel de arroz* | Cl.16: Washi [espécie de papel japonês] | Cl.16: Caminhos de mesa em papel | Cl.16: Banners [faixas] de papel | Cl.16: Bandeirolas de papel | Cl.16: Papel para mesas de exames clínicos | Cl.16: Papel para cobrir bandejas odontológicas | Cl.16: Babadores com mangas, em papel | Cl.16: Etiquetas em papel para a restituição de bagagem | Cl.16: Lenços de papel para limpeza | Cl.16: Papel dobrável para origami | Cl.16: Sacolas de papel ou plástico | Cl.16: Papel manteiga | Cl.16: Papel semente plantável [artigos de papelaria] | Cl.16: Papel de seda | Cl.16: Sacos de alimentos de papel ou plástico | Cl.16: Decorações de festa em papel | Cl.17: Papel para capacitores elétricos | Cl.17: Papel isolante | Cl.17: Papel de amianto | Cl.19: Papel de construção | Cl.21: Pratos de papel | Cl.21: Bandejas de papel para uso doméstico | Cl.21: Materiais para polir, exceto preparações, papel e pedra | Cl.21: Cachepôs, exceto de papel, para vasos de flores | Cl.21: Copos de papel ou de plástico | Cl.21: Cestos para papel | Cl.21: Forminhas para assar de papel | Cl.21: Suportes para toalha de papel | Cl.22: plásticas, papel ou papelão | Cl.22: Cordéis feitos de papel | Cl.24: Caminhos de mesa, exceto de papel | Cl.24: Cobertas de cama de papel | Cl.25: Vestuário de papel | Cl.25: Babadouros, exceto de papel | Cl.25: Chapéus de papel [vestuário] | Cl.25: Babadores, com manga, exceto de papel | Cl.26: Fitas e laços, exceto de papel, para embrulho de presente | Cl.27: Papel de parede | Cl.28: Chapéus de festa em papel | Cl.30: Papel comestível | Cl.30: Papel comestível de arroz | Cl.34: Papel de cigarro | Cl.40: Acabamentos para papel [tratamento] | Cl.40: Tratamento para papel"
1,Álcali cáustico,Cl.3: Álcali volátil [amoníaco] [detergente] | Cl.3: Álcali volátil [amoníaco] [detergente]
1,Metais alcalino-terrosos,"Cl.2: Metais em pó para uso em pintura, decoração, impressão e arte | Cl.2: Produtos antiembaciamento para metais | Cl.2: Preparações para proteção de metais | Cl.5: Ligas de metais preciosos para uso odontológico | Cl.6: Metais comuns, brutos ou semitrabalhados | Cl.6: Metais pirofóricos | Cl.6: Fecho de metais para portas | Cl.6: Metais em pó* | Cl.6: Metais em folha ou pó para impressoras 3d | Cl.7: Máquinas para trabalhar metais | Cl.14: Lingotes de metais preciosos | Cl.14: Metais preciosos não trabalhados ou semitrabalhados"
1,Álcool para uso industrial,Cl.4: Álcool metilado | Cl.4: Álcool [combustível] | Cl.4: Óleo de colza para uso industrial | Cl.4: Óleo de ossos para uso industrial | Cl.4: Óleo de girassol para uso industrial | Cl.4: Óleo de rícino para uso industrial | Cl.5: Álcool para uso medicinal | Cl.5: Álcool para uso farmacêutico | Cl.7: Máquinas dispensadoras de fita para uso industrial | Cl.7: Máquinas de cigarros para uso industrial | Cl.7: Máquinas para selecionar de uso industrial | Cl.7: Máquinas para sucção para uso industrial | Cl.7: Prensas [máquinas para uso industrial] | Cl.7: Aparelhos e máquinas para encadernação para uso industrial | Cl.7: Máquinas para selar [lacrar] de uso industrial | Cl.7: Cortadoras [máquinas] para uso industrial | Cl.7: Máquinas de liberação de fluidos para uso industrial | Cl.9: Aparelhos para radiologia para uso industrial | Cl.9: Telas radiológicas para uso industrial | Cl.11: Queimadores de álcool | Cl.11: Aparelhos de cromatografia para uso industrial | Cl.29: Frutas conservadas em álcool
1,Álcool etílico,Cl.4: Álcool metilado | Cl.4: Álcool [combustível] | Cl.4: Combustível à base de álcool | Cl.5: Álcool para uso medicinal | Cl.5: Álcool para uso farmacêutico | Cl.11: Queimadores de álcool | Cl.29: Frutas conservadas em álcool | Cl.32: Cerveja sem álcool
1,Algas [fertilizantes],Cl.11: Aparelhos para irrigação de fertilizantes | Cl.16: Filme à base de algas para embalar | Cl.22: Algas do mar [material de estofamento] | Cl.29: Extratos de algas para uso alimentar | Cl.29: Petiscos à base de algas marinhas | Cl.29: Algas marinhas preparadas | Cl.30: Algas [condimentos] | Cl.30: Chá de algas kelp
1,Substâncias químicas para conservação de alimentos,Cl.5: Substâncias hemostáticas [estípticos] | Cl.8: Cortador e fatiador de alimentos [mandolin] | Cl.40: Defumação de alimentos | Cl.40: Conservação de alimentos e bebidas | Cl.40: Congelamento de alimentos | Cl.43: Escultura em alimentos
1,Preparações químicas para facilitar a liga de metais,Cl.2: Produtos antiembaciamento para metais | Cl.2: Preparações para proteção de metais | Cl.5: Preparações químicas para diagnóstico de gravidez | Cl.5: Preparações químicas para tratar mofo | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar filoxera | Cl.5: Preparações químicas para tratar doenças da vinha | Cl.5: Preparações químicas para uso farmacêutico | Cl.5: Preparações químicas para uso medicinal | Cl.5: Preparações químicas para uso veterinário | Cl.5: Preparações químicas para tratar doenças de plantas cerealíferas | Cl.6: Liga de estanho prateado | Cl.6: Metais pirofóricos | Cl.6: Fecho de metais para portas | Cl.6: Tombac [liga] | Cl.25: Cintas liga
1,Alume de alumínio,Cl.2: Tintas de alumínio | Cl.2: Pó de alumínio para pintura | Cl.5: Acetato de alumínio para uso farmacêutico | Cl.6: Alumínio | Cl.6: Fios de alumínio | Cl.6: Folhas de alumínio | Cl.6: Folhas de alumínio para fins culinários | Cl.21: Recipientes descartáveis em folha de alumínio para uso doméstico
1,Hidrato de alumínio,Cl.2: Tintas de alumínio | Cl.2: Pó de alumínio para pintura | Cl.5: Acetato de alumínio para uso farmacêutico | Cl.6: Alumínio | Cl.6: Fios de alumínio | Cl.6: Folhas de alumínio | Cl.6: Folhas de alumínio para fins culinários | Cl.21: Recipientes descartáveis em folha de alumínio para uso doméstico
1,Silicato de alumínio,Cl.2: Tintas de alumínio | Cl.2: Pó de alumínio para pintura | Cl.6: Alumínio | Cl.6: Fios de alumínio | Cl.6: Folhas de alumínio
1,Cloreto de alumínio,Cl.2: Tintas de alumínio | Cl.2: Pó de alumínio para pintura | Cl.5: Acetato de alumínio para uso farmacêutico | Cl.6: Alumínio | Cl.6: Fios de alumínio | Cl.6: Folhas de alumínio
1,Iodeto de alumínio,Cl.2: Tintas de alumínio | Cl.2: Pó de alumínio para pintura | Cl.5: Acetato de alumínio para uso farmacêutico | Cl.6: Alumínio | Cl.6: Fios de alumínio | Cl.6: Folhas de alumínio | Cl.6: Folhas de alumínio para fins culinários | Cl.21: Recipientes descartáveis em folha de alumínio para uso doméstico
1,Alúmen,Cl.3: Pedras de alúmen [pedras-ume] [adstringente]
1,Preparações químicas para melhoramento de solo,Cl.3: Preparações depilatórias | Cl.3: Preparações fitocosméticas | Cl.5: Preparações para hemorróidas | Cl.5: Preparações antiparasitárias | Cl.5: Preparações antiúricas | Cl.5: Preparações vitamínicas* | Cl.5: Preparações para frieiras | Cl.5: Preparações para facilitar a dentição | Cl.5: Preparações para matar camundongos | Cl.5: Preparações anticriptogâmicas | Cl.5: Preparações químicas para diagnóstico de gravidez | Cl.5: Preparações para exterminar lesmas | Cl.5: Preparações químicas para tratar mofo | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações para organoterapia | Cl.5: Preparações para organoterapia | Cl.5: Preparações químicas para tratar filoxera | Cl.5: Preparações para esterilização do solo | Cl.5: Preparações químicas para tratar doenças da vinha | Cl.5: Preparações químicas para uso farmacêutico | Cl.5: Preparações químicas para uso medicinal | Cl.5: Preparações químicas para uso veterinário | Cl.5: Preparações broncodilatadoras | Cl.5: Preparações químicas para tratar doenças de plantas cerealíferas | Cl.5: Preparações dermatológicas
1,Amido para uso industrial,Cl.4: Óleo de colza para uso industrial | Cl.4: Óleo de ossos para uso industrial | Cl.4: Óleo de girassol para uso industrial | Cl.4: Óleo de rícino para uso industrial | Cl.5: Amido para uso dietético ou farmacêutico | Cl.7: Máquinas dispensadoras de fita para uso industrial | Cl.7: Máquinas de cigarros para uso industrial | Cl.7: Máquinas para selecionar de uso industrial | Cl.7: Máquinas para sucção para uso industrial | Cl.7: Prensas [máquinas para uso industrial] | Cl.7: Aparelhos e máquinas para encadernação para uso industrial | Cl.7: Máquinas para selar [lacrar] de uso industrial | Cl.7: Cortadoras [máquinas] para uso industrial | Cl.7: Máquinas de liberação de fluidos para uso industrial | Cl.9: Aparelhos para radiologia para uso industrial | Cl.9: Telas radiológicas para uso industrial | Cl.11: Aparelhos de cromatografia para uso industrial | Cl.30: Amido para uso alimentar
1,Agentes químicos para fluidificar amido [agentes de descolagem],Cl.5: Sicativos [agentes secantes] para uso medicinal | Cl.30: Agentes para engrossar sorvetes | Cl.5: Preparações químicas para diagnóstico de gravidez | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar filoxera | Cl.5: Preparações químicas para uso farmacêutico | Cl.5: Preparações químicas para uso medicinal | Cl.5: Preparações químicas para uso veterinário
1,Agentes de descolagem [preparações químicas para fluidificar amido],Cl.5: Sicativos [agentes secantes] para uso medicinal | Cl.30: Agentes para engrossar sorvetes | Cl.5: Preparações químicas para diagnóstico de gravidez | Cl.5: Preparações químicas para tratar mangra | Cl.5: Preparações químicas para tratar filoxera | Cl.5: Preparações químicas para uso farmacêutico | Cl.5: Preparações químicas para uso medicinal | Cl.5: Preparações químicas para uso veterinário
1,Sal amoníaco [cloreto de amônio],Cl.30: Sal de cozinha | Cl.30: Sal de aipo
1,Espírito de sal,Cl.3: Óleos essenciais para perfumar Óleos voláteis para perfumar | Cl.30: Sal para conservar alimentos | Cl.30: Sal de cozinha | Cl.30: Sal de aipo | Cl.30: Biscoitos de água e sal | Cl.31: Sal para gado
1,Sais amoniacais,"Cl.3: Sais para branquear | Cl.3: Sais de banho, exceto para uso medicinal | Cl.5: Sais para banhos de água mineral | Cl.5: Sais de água mineral | Cl.5: Sais para uso medicinal | Cl.5: Sais aromáticos | Cl.5: Sais de potássio para uso medicinal | Cl.5: Sais de sódio para uso medicinal | Cl.5: Sais de banho para uso medicinal"
1,Amoníaco *,Cl.3: Álcali volátil [amoníaco] [detergente] | Cl.3: Álcali volátil [amoníaco] [detergente]
1,Aldeído de amônio,Cl.13: Explosivos de nitrato de amônio
1,Alúmen de amoníaco,Cl.3: Pedras de alúmen [pedras-ume] [adstringente]
1,Acetato de amido,"Cl.3: Goma de amido para lavanderia | Cl.5: Amido para uso dietético ou farmacêutico | Cl.5: Acetato de alumínio para uso farmacêutico | Cl.16: Material de embalagem, feito de amido | Cl.17: Acetato de celulose [semiprocessado]"
