marca_base,ncl_base,spec_base,marca_rpi,ncl_rpi,spec_rpi,colide
RDK,21,"cachepôs, exceto de papel, para vasos de plantas; suportes para arranjos de plantas e flores; vasos; vasos para flores.;",RDK,37,"aperfeiçoamento de equipamento automotivo [instalação, manutenção, reparo][tuning];assessoria, consultoria e informação em reparo e manutenção de veículos;instalação personalizada de peças de veículos externas, internas e mecânicas [adaptação];manutenção e reparo de automóveis;recondicionamento de motores desgastados ou parcialmente destruídos;serviço de reparo de panes em veículos;",S
REDFOX,35,"assessoria, consultoria e informação em gestão de negócios e empresas; gestão de franquia; assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet; provimento de mercado online para compradores e vendedores de produtos e serviços [marketplace]; de produtos; marketing por influenciadores; promoção de produtos por meio de influenciadores; publicidade; publicidade por qualquer meio; comércio (atravé",REDFOX,41,treinamento prático relacionado ao adestramento e comportamento de animais de estimação []; adestramento de animais domésticos;,S
RENATU&#39;S,40,beneficiamento de alimentos;congelamento de alimentos;conservação de alimentos e s;extração de suco de frutas;pasteurização de alimentos e s;,RENATUS,11,aparelho para fazer gelo de uso doméstico;aparelhos aquecedores e resfriadores para distribuição de s quentes e frias;aparelhos de aquecimento;aparelhos de ar-condicionado;aparelhos de ar-condicionado para veículos;aparelhos e instalações de refrigeração;aparelhos e instalações para resfriamento;aparelhos e máquinas de gelo;aparelhos e máquinas para purificação de água;aparelhos e máquinas para purificação de ar;aquecedores de água;freezer de uso doméstico;geladeira a gás;,S
CYCLO,38,"serviços de telecomunicações, a saber, direcionamento de chamadas, mensagens sms e notificações ´´push´´ para operadores de veículos motorizados de terceiros nas proximidades de quem liga utilizando telefones móveis; telecomunicações.;",CICLO,41,cursos livres [ensino];serviços de educação;serviços de educação on-line prestados em um ambiente virtual;,S
SOBERANO,41,organização de bailes; organização de concursos de beleza; organização de desfiles de moda para fins de entretenimento; organização de espetáculos [shows] [serviços de empresário]; organização de exposições para fins culturais ou educativos; organização e apresentação de colóquios; organização e apresentação de congressos; organização e apresentação de seminários; organização e apresentação de simpósios; agente artístico; literário e cultural [promotor de evento]; aluguel de salão de festas para,SOBERANO,35,comércio [através de qualquer meio] de artigos de papelaria;comércio [através de qualquer meio] de jogos e brinquedos;comércio [através de qualquer meio] de produtos alimentícios [doces];,S
WG,5,"adesivos transdérmicos com suplementos vitamínicos;preparados, complementos e suplementos alimentares à base de albumina;preparados, complementos e suplementos alimentares à base de frutas [não medicinal];preparados, complementos e suplementos alimentares à base de proteína;suplementos alimentares à base de pó de açaí;suplementos alimentares à base de pó de copaíba;suplementos alimentares à base de pó de guaraná;suplementos alimentares à base de pó de guaraná;suplementos alimentares de albumina;",WG,28,"aparatos para jogos;aparelho automático de entretenimento acionado por cartão;brinquedos*;cartas colecionáveis para jogos;oles de videogames;oles portáteis de videogames;controles [joystick] para videogames;controles para brinquedos;controles para oles de jogos;fichas para jogos;figuras planas de brinquedo feitas em acrílico, com suporte;filmes protetores adaptados para telas de jogos portáteis;jogo de cartas;jogos de argolas;jogos de cartas;jogos de cartas colecionáveis;jogos de mesa;jogos de t",S
PLENYTUDE,40,de aviamentos em têxteis;ateliê de costura;confecção de artigo do vestuário sob encomenda;confecção de roupas;montagem de materiais sob encomenda de terceiros;serigrafia;silk-screen [serigrafia];,PLENITUDE,44,"aspersão, aérea ou de superfície, de fertilizantes e outras substâncias químicas agrícolas;assessoria, consultoria e informação na área agrícola;assessoria, consultoria e informação na área de horticultura de parreirais;assessoria, consultoria e informação sobre de pesticidas e sobre resíduos de pesticidas em alimentos;extermínio de animais nocivos para agricultura, aquacultura, horticultura e silvicultura.;horticultura [serviço agropecuário];",S
MERIDIONAL,6,"abraçadeiras de metal; abraçadeiras de metal para cabos ou tubos; aço, bruto ou semitrabalhado; agulhas para estradas de ferro; agulhas para linhas férreas; algerozes de metal para telhados [calhas]; alumínio; âncoras *; andaimes de metal; anéis de cobre; anéis de metal *; anilhos [arruelas] de metal; arame farpado; argolas de metal comum para chaves; armadilhas para animais selvagens *; armaduras de metal para dutos de ar comprimido; assoalhos de metal; ataduras de metal para feixes; aviários d",MERIDIONAL,36,"administração de seguro;administração de seguro-saúde;assessoria, consultoria e informação em seguros;assessoria, consultoria e informação sobre seguros de saúde;comercialização de seguro saúde;consultoria em seguros;corretagem de seguros;plano de saúde, venda e administração;provimento de informações sobre seguros;seguros;seguros contra incêndio;seguros de saúde;seguros de vida;",S
RIOBRANCO,5,"medicamentos líquidos, medicamentos para a medicina humana, medicamentos para a medicina veterinária e medicamentos para uso dentário.;",RIO BRANCO,16,"livros, jornais, revistas e publicações periódicas em geral; material didático (exceto aparelhos); material escolar (papelaria); sem finalidade lucrativa.;",S
IMPACTO,41,"agência de notícias/jornalismo [elaboração de reportagens fotográficas ou não];agente artístico; literário e cultural [promotor de evento];assessoria, consultoria e informação em atividades desportivas e culturais;assessoria, consultoria e informação em entretenimento [lazer];copidesque [edição de texto, exceto de publicidade];cronometragem de eventos desportivos;diagramação [editoração eletrônica de publicações];direção de filmes, exceto filmes publicitários;edição de texto, exceto de publicida",IMPACTO,41,"e condução de cursos, treinamentos, palestras, workshops, s e s de capacitação, presenciais e on-, nas áreas de responsabilidade social, sustentabilidade, esg, inclusão social, impacto social e impacto ambiental; e condução de treinamentos para conscientização responsabilidade social, sustentabilidade, filantropia, voluntariado, inclusão social e proteção ambiental; planejamento, e condução de cursos, workshops, s, palestras e campanhas educacionais projetos de impacto social e ambiental;",S
IBOA,35,"assessoria, ultoria e informação ao umidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet;comércio [através de qualquer meio] de aparelhos de instalações sanitárias;comércio [através de qualquer meio] de desinfetantes;comércio [através de qualquer meio] de material de limpeza;comércio [através de qualquer meio] de preparações para limpar, polir, desengordurar e decapar;comércio [através de qualquer meio] de produtos abrasivos para limpez",IBOA,18,"alças de malas;armações para bolsas [peças estruturais de bolsas];bolsa para cosméticos [vazia];bolsa para tênis;bolsas;bolsas de caça;bolsas de capim dourado;bolsas de couro para embalagem;bolsas de couro para ferramentas, vazias;bolsas de malhas;bolsas de mão;bolsas de praia;bolsas de viagem;bolsas escolares;bolsas para alpinistas;bolsas para campistas;bolsas para carregar bebês [slings];bolsas para equipamentos esportivos*;bolsas*;bolsas*;bornais [mochilas];carteira para moeda;carteiras de bo",S
TOP,35,comércio (através de qualquer meio) de alfinetes e agulhas [artigos de armarinho]; comércio (através de qualquer meio) de botões [artigos de armarinho]; comércio (através de qualquer meio) de colchetes e ilhoses [artigos de armarinho]; comércio (através de qualquer meio) de s; comércio (através de qualquer meio) de material de ; comércio (através de qualquer meio) de s alimentícios; comércio (através de qualquer meio) de s de ;,TOP SENSE,3,"removedores de esmalte de unhas; acetona (removedor de esmalte de unhas); álcool em gel para higiene das mãos; preparações cosméticas e de toalete não medicinais; dentifrícios não medicinais; , óleos essenciais; preparações para branquear e outras substâncias para uso em lavanderia; preparações para limpar, polir e decapar, preparações abrasivas; s químicos de uso doméstico para avivar cores (lavanderia); amaciantes de tecidos; s para enxaguar a roupa (lavanderia); s para alisar (engomar); s par",S
TOP,35,comércio (através de qualquer meio) de alfinetes e agulhas [artigos de armarinho]; comércio (através de qualquer meio) de botões [artigos de armarinho]; comércio (através de qualquer meio) de colchetes e ilhoses [artigos de armarinho]; comércio (através de qualquer meio) de s; comércio (através de qualquer meio) de material de ; comércio (através de qualquer meio) de s alimentícios; comércio (através de qualquer meio) de s de ;,TOP SENSE,3,"removedores de esmalte de unhas; acetona (removedor de esmalte de unhas); álcool em gel para higiene das mãos; preparações cosméticas e de toalete não medicinais; dentifrícios não medicinais; , óleos essenciais; preparações para branquear e outras substâncias para uso em lavanderia; preparações para limpar, polir e decapar, preparações abrasivas; s químicos de uso doméstico para avivar cores (lavanderia); amaciantes de tecidos; s para enxaguar a roupa (lavanderia); s para alisar (engomar); s par",S
TOTAL,36,consultoria financeira; consultoria fiscal [valoração]; financeira (consultoria -); de cartão de crédito;,"TOTAL MEDIC BRAZIL IMPORTAÇÃO, EXPORTAÇÃO E DISTRIBUIDORA.",35,"comercial; de empresa; de holding [tipo de empresa];comércio [através de qualquer meio] de aparelhos e instrumentos cirúrgicos;comércio [através de qualquer meio] de aparelhos e instrumentos médicos;comércio [através de qualquer meio] de cosméticos;comércio [através de qualquer meio] de preparações farmacêuticas;comércio [através de qualquer meio] de produtos de perfumaria;comércio, no varejo, de preparações sanitárias, farmacêuticas e veterinárias e de suprimentos médicos;farmácia [comércio de ",S
MEGA,27,"s, capachos, s e papeis de parede, incluídos nesta;",MEGA CASA IMPORTS,35,assessoria em gestão comercial ou industrial;comércio [através de qualquer meio] de adesivos para papelaria ou para uso doméstico;comércio [através de qualquer meio] de aparelhos de aquecimento;comércio [através de qualquer meio] de aparelhos de iluminação;comércio [através de qualquer meio] de aparelhos de instalações sanitárias;comércio [através de qualquer meio] de aparelhos de refrigeração;comércio [através de qualquer meio] de aparelhos de ventilação;comércio [através de qualquer meio] de a,S
D´ORO,35,"demonstração de produtos; provimento de mercado online para compradores e vendedores de produtos e serviços [marketplace]; serviços de agências de importação-exportação; comércio (através de qualquer meio) de ; assessoria, consultoria e informação ao consumidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet; assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia; comércio (atravé",VETRINA D´ORO,14,"abotoaduras;alfinetes de adereço;alfinetes de chapéu [joias e s];alfinetes de gravatas;alfinetes de ;amuletos [joias e s];âncoras [];anéis [joias e s];argola de uso pessoal [];s de / ;balangandã [ornamento ou amuleto, ordinariamente de , em forma de figa, medalha, pendente de broche, argola ou pulseira];berloques para joias e s;biojoias;bracelete de qualquer material [joia ou ];brilhante [diamante];brincos;brincos de capim dourado;broches [joias e s];button [ing.];caixas de relógios [de parede o",S
KROMASA,16,"almofada absorvente para alimentos; de ou ; de polietileno [para ou ]; para ; , , para uso em ;folhas absorventes de ou de para produtos alimentícios;folhas de celulose reciclada para ;folhas reguladoras de umidade, feitas de ou de , para produtos alimentícios;guardanapos de ;lenços de ;lenços de para limpeza;lenços de para retirar maquiagem; descartável para assento sanitário; para ; para embrulho; toalha; bolha [para ou empacotamento];s [s, las] para , de ou ;s de lixo, de ou ;s para cozinhar ","KK KROMASA PRESERVANDO HISTÓRIAS, ENTREGANDO PRATICIDADE",16,"de ou ; para ; , , para uso em ;s [s, las] de ou para ;",S
WG,5,"adesivos transdérmicos com s vitamínicos;preparados, s e s es à base de albumina;preparados, s e s es à base de frutas [não ];preparados, s e s es à base de ;s es à base de pó de açaí;s es à base de pó de copaíba;s es à base de pó de guaraná;s es à base de pó de guaraná;s es de albumina;s es de caseína;s es de enzimas;s es de germe de trigo;s es de glicose;s es de levedura;s es de ;s es de própolis;s es de de soro do leite;s es ;s es para seres humanos;s ;",WG VYTAMIN COMPLEX,35,"serviço de comercialização de s encapsulados; comercialização de alimentos dietéticos adaptados para uso , s , farinhas para uso farmacêutico, fibras es, gelatina para uso , para uso farmacêutico; [comércio de] óleo de fígado de bacalhau, de , s es , cápsula de alga marinha para uso , vitamina e sais , / para uso .;",S
TOP,35,comércio (através de qualquer meio) de alfinetes e agulhas [artigos de armarinho]; comércio (através de qualquer meio) de botões [artigos de armarinho]; comércio (através de qualquer meio) de colchetes e ilhoses [artigos de armarinho]; comércio (através de qualquer meio) de s; comércio (através de qualquer meio) de material de ; comércio (através de qualquer meio) de s alimentícios; comércio (através de qualquer meio) de s de ;,TOP SENSE,3,"removedores de esmalte de unhas; acetona (removedor de esmalte de unhas); álcool em gel para higiene das mãos; preparações cosméticas e de toalete não medicinais; dentifrícios não medicinais; , óleos essenciais; preparações para branquear e outras substâncias para uso em lavanderia; preparações para limpar, polir e decapar, preparações abrasivas; s químicos de uso doméstico para avivar cores (lavanderia); amaciantes de tecidos; s para enxaguar a roupa (lavanderia); s para alisar (engomar); s par",S
FAMINTO&#39;S,40,beneficiamento de alimentos;congelamento de alimentos;conservação de alimentos e s;defumação de alimentos;extração de de frutas;montagem de materiais sob encomenda de terceiros;,FAMINTOS FOOD,35,"assessoria em gestão comercial ou industrial;assessoria, consultoria e informação em franquia, exceto licenciamento da propriedade intelectual [gestão comercial];assessoria, consultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia;assessoria, consultoria e informação em gestão de negócios para companhias industriais ou comerciais;assessoria, consultoria e informações sobre franchising [gestão comercial];comércio [através de qualquer meio] de s alcoóli",S
ONLY.,32,"água mineral [bebida];bebidas não alcoólicas com sabor de chá;suco de fruta;suco de tomate [bebida];sucos de frutas;sucos de frutas, verduras e legumes [bebidas];",ONLY COFFEE CO.,35,comércio [através de qualquer meio] de produtos alimentícios [grãos];comércio [através de qualquer meio] de utensílios e recipientes para a casa ou a cozinha;padaria [comércio de café moído; sem vistas ao consumo no local];comércio (através de qualquer meio) de produtos alimentícios a base de café; comércio (através de qualquer meio) de utensílios para cafeteria; exportação de café cru;,S
KROMASA,16,"almofada absorvente para alimentos; de papel ou plástico;filme de polietileno [para embalar ou embrulhar];filme plástico para embrulhar;filme plástico, extensível, para uso em paletização;folhas absorventes de papel ou de plástico para embalar produtos alimentícios;folhas de celulose reciclada para embrulhar;folhas reguladoras de umidade, feitas de papel ou de plástico, para embalar produtos alimentícios;guardanapos de papel;lenços de papel;lenços de papel para limpeza;lenços de papel para retir","KK KROMASA PRESERVANDO HISTÓRIAS, ENTREGANDO PRATICIDADE",35,comércio [através de qualquer meio] de matérias plásticas não processadas;comércio [através de qualquer meio] de matérias plásticas para ;,S
SR,37,montagem e reforma de móveis.;,GRUPO SR,19,"materiais de construção, não metálicos.;",S
VIBE,41,de s de intercâmbio cultural e educativo. - [ em]; de s de intercâmbio cultural e educativo. - [ em]; de s de intercâmbio cultural e educativo. - [ em]; de s de intercâmbio cultural e educativo.;,VV VÊNUS VIBE,41,"aluguel de filmes cinematográficos;apresentação de espetáculos de variedades;, e em educação [instrução];, e em treinamento [demonstração][ensino];, e ensino;aulas particulares;coaching [treinamento];curso de ciências ocultas;curso técnico de formação;cursos livres [ensino];direção de filmes, exceto filmes publicitários;distribuição de filmes;dublagem;edição de texto, exceto de publicidade [copidesque];edição de videoteipe;editoração eletrônica;fã clube;filmagem em vídeo;fornecimento de s de tel",S
VIDA,41,"s es(online);publicação on-line de os e periódicos eletrônicos;serviços de educação;serviços de ;serviços de instrução;provimento de vídeos on-line; material didáticos online; apostilas online; e-book, desde que incluídos nesta classe.;",BORA VIDA,41,s es [];organização e realização de eventos de entretenimento;serviços de entretenimento;,S
RAIN,35,"comércio (através de qualquer meio) de cd-rom [disco]; cd-rom [drive]; cabo para bateria [eletricidade]; cabos elétricos; caixa de som; caixas de baterias [acumuladores]; caixas para alto-falantes; cartões de memória para videogames; dvd [drive de ]; dvd [reprodutor para tvs]; dvd, disco digital de vídeo; fones de ouvido; material para condutos elétricos [fios, cabos]; megafones; memórias para ; microfones; pen drives; receptores de telefone; tablets; telefones celulares; tocadores de dvd; carre",RAIN TI,42,"* desenvolvimento, implementação e manutenção de software; * software como serviço (saas) para gestão e registro de documentos e contratos, inclusive com cláusula de alienação fiduciária; * armazenamento de dados; serviços de data center; hospedagem de aplicações; * digitalização e conversão de documentos para s; * criptografia, autenticação e segurança da informação; monitoramento de sistemas de por acesso remoto; * consultoria em tecnologia da informação e segurança da informação.;",S
IMPACTO,41,"agência de notícias/jornalismo [elaboração de reportagens fotográficas ou não];agente artístico; literário e cultural [promotor de evento];assessoria, consultoria e informação em atividades desportivas e culturais;assessoria, consultoria e informação em entretenimento [lazer];copidesque [edição de texto, exceto de publicidade];cronometragem de eventos desportivos;diagramação [editoração eletrônica de publicações];direção de filmes, exceto filmes publicitários;edição de texto, exceto de publicida",IMPACTO SOLUÇÃO EM SEGURANÇA,37,conserto de aparelho fotográfico;conserto e manutenção de aparelhos audiovisuais eletroeletrônicos;instalação e manutenção de instalações elétricas;instalação e reparo de aparelhos elétricos;,S
D´ORO,14,abotoaduras; adereços de marfim [joias e s]; alfinetes de adereço; alfinetes de gravatas; amuletos [joias e s]; anéis [joias e s]; s de / ; brincos; broches [joias e s]; chaveiros de ; fios de [joias e s]; correntes [joias e s]; correntes de relógios; estátuas de ; estatuetas de ; fechos para joias e s; fios de ouro []; fios de prata [joias e s]; imitações de s s; joias e s de âmbar amarelo; joias e s de marfim; medalhas; medalhões [joias e s]; ornamentos dchapéus (ornamentos de) [de ]; ornament,VETRINA D´ORO,35,comércio [através de qualquer meio] de aparelhos e instrumentos cronométricos;comércio [através de qualquer meio] de s de ;comércio [através de qualquer meio] de s de ;comércio [através de qualquer meio] de baixelas em ;comércio [através de qualquer meio] de ;comércio [através de qualquer meio] de s e suas ligas;comércio [através de qualquer meio] de s s;comércio [através de qualquer meio] de produtos confeccionados de s ou folheados;comércio [através de qualquer meio] de produtos de comum;,S
BRUMA,35,"assessoria, ultoria e informação ao umidor sobre produtos e respectivos preços, através de websites, em conexão com comércio realizado pela internet;assessoria, ultoria e informação em gestão de negócios e comercialização de produtos sob contrato de franquia;comércio (através de qualquer meio) de s;comércio (através de qualquer meio) de loções para os cabelos;comércio [através de qualquer meio] de preparações de higiene pessoal não medicamentosas;demonstração de produtos;franchising [sistema pel",LA BRUMA,5,suplemento nutricional [vitaminas ou minerais] para uso medicinal;suplemento nutricional de óleo comestível para uso medicinal;suplemento ou complemento alimentar em barra para uso medicinal;suplemento ou complemento alimentar em líquido para uso medicinal;suplemento ou complemento alimentar em pó para uso medicinal;suplementos alimentares à base de pó de açaí;suplementos alimentares à base de pó de copaíba;suplementos alimentares à base de pó de guaraná;suplementos alimentares à base de pó de g,S
WG,5,"adesivos transdérmicos com s vitamínicos;preparados, complementos e s alimentares à base de albumina;preparados, complementos e s alimentares à base de frutas [não ];preparados, complementos e s alimentares à base de proteína;s alimentares à base de pó de açaí;s alimentares à base de pó de copaíba;s alimentares à base de pó de guaraná;s alimentares à base de pó de guaraná;s alimentares de albumina;s alimentares de caseína;s alimentares de enzimas;s alimentares de germe de trigo;s alimentares de ",WG VYTAMIN COMPLEX,5,[vitaminas ou ] encapsulados para uso .;,S
ZN,41,"agente artístico; literário e cultural [promotor de evento];animação de festa;apresentação de espetáculos ao vivo;assessoria, consultoria e informação em entretenimento [lazer];banda de música [serviços de entretenimento];cantor(a);composição de canções;empresário [organização e produção de espetáculos];fã clube;fornecimento de filmes, não baixáveis, através de serviços de vídeo sob demanda;fornecimento de programas de televisão, não baixáveis, através de serviços de vídeo sob demanda;gravações ",STUDIO ZN PILATES,41,serviços de academia de ginástica [treinamento físico e para a saúde];,S
MANGO,40,beneficiamento de s;congelamento de s;conservação de s e s;,DOCE MANGO,43,"alimentação natural e macrobiótica [serviços de fornecimento de comida e ];aluguel de salas de reunião;assessoria, consultoria e informação em culinária;assessoria, consultoria e informação relativa à produção de ;assessoria, consultoria e informação técnica em serviço de alimentação;assessoria, consultoria e informações sobre restaurante;churrascaria [restaurante];cyber café [fornecimento de comida e ];decoração de s;decoração de bolos;distribuição de cestas básicas a pessoas carentes;fornecime",S
MOW,40,alfaiataria;ateliê de costura;confecção de artigo do sob encomenda;confecção de s;montagem de materiais sob encomenda de terceiros;serviços de bordar;tratamento de têxteis;,MOW - MEETING OF WATERS,25,quimonos; para ginástica; *;,S
BEACH,19,não metálicas; escadas não metálicas; estruturas não metálicas para ; pedra; pedra artificial; pedras de ; piscinas [estruturas não metálicas]; pranchas não metálicas para saltos; aquário [estrutura do tipo tanque]; artigo para hidráulica; bóia para caixa d'água; caixa d'água [reservatório para abastecimento]; deque não metálico para piscina; tela protetora para piscina; encanamentos não metálicos de água;,BEACH CLASS,37,"aluguel de equipamento de ;assessoria, consultoria e informação em aluguel de equipamentos para ;assessoria, consultoria e informação em ;assessoria, consultoria e informação em supervisão de ; *; e reparação de obra civil;consultoria na área de civil; de serviços básicos de infraestrutura em locais de ;maquete [ de protótipos, maquetes e miniaturas para projetos arquitetônicos, empreendimentos imobiliários, de acordo com projeto];provimento de informações sobre ;re de edificações [reedificação]",S
INOVA ITAPOA - SC PINTURAS,37,"aplicação de tinta e impermeabilizante;assessoria, consultoria e informação em pintura de prédios;pintura ou reparo de letreiros;pintura, de interior e de exterior;serviços de pinturas viárias;",INOVA TIJOLO ECOLÓGICO,19,tijolos;,S
INOVA ITAPOA - SC PINTURAS,37,"aplicação de tinta e impermeabilizante;assessoria, consultoria e informação em pintura de prédios;pintura ou reparo de letreiros;pintura, de interior e de exterior;serviços de pinturas viárias;",INOVA RALOS,35,comércio [através de qualquer meio] de materiais de construção metálicos;comércio [através de qualquer meio] de materiais de construção não metálicos;,S
INOVA ITAPOA - SC PINTURAS,37,"aplicação de tinta e impermeabilizante;assessoria, consultoria e informação em pintura de prédios;pintura ou reparo de letreiros;pintura, de interior e de exterior;serviços de pinturas viárias;",INOVA RALOS,6,ralo metálico;,S
FAROL DAS LETRAS,41,", e em [instrução];, e em [][];, e ;coaching [];curso técnico de formação;cursos livres [];cursos por correspondência;organização de exposições para fins culturais ou educativos;organização de programas de intercâmbio cultural e educativo;organização e apresentação de colóquios;organização e apresentação de conferências;organização e apresentação de congressos;organização e apresentação de seminários;organização e apresentação de simpósios; [];provimento de sobre [instrução];serviços de ;serviço",FAROL EDUCA,41,", e em [][];, e ; [];serviços de ;serviços de ;",S
FAROL DAS LETRAS,41,"assessoria, e informação em educação [instrução];assessoria, e informação em treinamento [demonstração][ensino];assessoria, e informação ensino;coaching [treinamento];curso técnico de formação;cursos livres [ensino];cursos por correspondência;organização de exposições para fins culturais ou educativos;organização de programas de intercâmbio cultural e educativo;organização e apresentação de colóquios;organização e apresentação de conferências;organização e apresentação de congressos;organização ",FAROL EDUCA,35,em gestão de negócios; em gestão de pessoal; profissional em negócios;serviços de comunicação corporativa;,S
JB BARREIRA ECOLÓGICA,37,"prestação de serviços de instalação, manutenção e reparo de barreiras ecológicas em rios, riachos ou corpos d'água similares. os serviços incluem o fornecimento e montagem das barreiras, análise do local para instalação, adaptação conforme as condições ambientais e normativas vigentes, além de manutenção periódica e eventuais reparos para garantir a funcionalidade, segurança e durabilidade das estruturas.;",JB JORGE BECHARA MÓVEIS,42,"assessoria, consultoria e informações sobre decoração de interiores;assessoria, consultoria e informações sobre engenharia;concepção de protótipo [elaboração de projeto];concepção e projetos de maquetes e protótipos;criação e projeto de planta para construção;decoração de interiores;design de homepage;design de interiores;design gráfico de computador para mapeamento de projeção de vídeos;design gráfico de material promocional;elaboração [concepção] de software de computador;planejamento urbano;p",S
JB BARREIRA ECOLÓGICA,37,"prestação de serviços de instalação, manutenção e reparo de barreiras ecológicas em rios, riachos ou corpos d'água similares. os serviços incluem o fornecimento e montagem das barreiras, análise técnica do local para instalação, adaptação conforme as condições ambientais e normativas vigentes, além de manutenção periódica e eventuais reparos para garantir a funcionalidade, segurança e durabilidade das estruturas.;",JB JORGE BECHARA MÓVEIS,20,"altares [mobiliário];apoio de cabeça [móveis];apoio para braço [móvel];apoio para livro [móvel];apoio para telefone [móvel];apoio tipo banqueta para a cabeça, não metálico;armário bar;armários [guarda-louças];armários [mobiliário];armários para livros;armários para malas;arquivos para fichas [móveis];assentos [cadeiras]*;assentos de metal;balcão [móvel];balcões;bancadas de trabalho;bancos [móveis];bancos para banheiro;banqueta [móvel];banquinhos para os pés;bases para camas;baús não metálicos;be",S
