ncl_a,ncl_b,sim_top5,sim_max,item_a_max,item_b_max
1,44,0.504967,0.545323,010079 Preparações viscosas para enxertos de árvores,440166 Cirurgia de árvores
1,45,0.310657,0.354393,010194 Cimento para consertar objetos quebrados,450200 Devolução de objetos perdidos
2,3,0.644272,0.859963,020094 Preparações para proteção de metais,030225 Preparações para proteção solar
2,4,0.547026,0.597615,020082 Óleos para conservação de madeira,040090 Óleos para conservação de couro
2,5,0.586918,0.795996,020076 Gomas-gutas para pintura,050341 Gomas-gutas para uso medicinal
2,6,0.574393,0.662255,020038 Alvaiade [branco de chumbo],060046 Metal branco
2,7,0.598153,0.644574,020065 Esmaltes para pintar,070297 Máquinas para pintar
2,8,0.442777,0.554101,020037 Tintas para cerâmica,080266 Facas de cerâmica
2,9,0.651933,0.722968,020010 Preparações anticorrosão,090412 Dispositivos catódicos anticorrosão
2,10,0.303059,0.472035,020021 Faixas anticorrosão,100217 Tipoias [faixas de sustentação]
2,11,0.345605,0.473052,020048 Corantes de malte,110191 Torrefadores de malte
2,12,0.227397,0.27386,020125 Pastilhas de pintura removíveis,120263 Pastilhas de freio para veículos
2,13,0.3775,0.469532,020038 Alvaiade [branco de chumbo],130041 Chumbo de caça [granalha]
2,14,0.409885,0.492287,020014 Pasta de prata,140163 Prata semitrabalhada ou batida
2,15,0.117422,0.212903,020046 Colofônia [resina natural] *,150093 Colofônia [breu] para instrumentos musicais de corda
2,16,0.526245,0.604664,020023 Corantes para manteiga,160399 Papel manteiga
2,17,0.556222,0.608508,020009 Tintas de amianto,170071 Papel de amianto
2,18,0.437013,0.455976,020033 Tintas para couro,180130 Etiquetas de couro
2,19,0.629306,0.896039,020026 Revestimentos para madeira [tintas],190035 Revestimentos de madeira
2,20,0.379516,0.422652,020111 Madeira corante,200027 Fitas de madeira
2,21,0.468419,0.652297,020088 Corantes para licores,210155 Baixelas [serviços] para licores
2,22,0.349337,0.379082,020111 Madeira corante,220005 Palha de madeira
2,23,0.059562,0.06695,020140 Brilho para uso em tinta,230018 Fios de borracha para uso têxtil
2,24,0.3488,0.415163,020033 Tintas para couro,240138 Lençóis de couro
2,25,0.471651,0.537265,020021 Faixas anticorrosão,250070 Faixas [vestuário]
2,26,0.411477,0.49657,020014 Pasta de prata,260093 Bordados de prata
2,27,0.362438,0.40447,020070 Revestimentos [tintas],270022 Revestimentos têxteis para paredes
2,28,0.42245,0.621185,020041 Tintas para calçado,280187 Raquete para neve [calçado]
2,29,0.486555,0.519706,020014 Pasta de prata,290229 Pasta de frutas prensadas
2,30,0.578896,0.741666,020142 Verniz comestível para decorar alimentos,300322 Ouro comestível para decorar alimentos e bebidas
2,31,0.396088,0.497732,020042 Leite de cal,310028 Cal para forragem animal
2,32,0.490337,0.570046,020024 Corantes para cerveja,320005 Cerveja não fermentada [mosto de cerveja]
2,33,0.404742,0.508551,020088 Corantes para licores,330001 Licores de menta
2,34,0.28319,0.374534,020073 Negro de fumo [pigmento],340032 Recipientes para fumo
2,35,0.285986,0.342866,020093 Produtos antiembaciamento para metais,350023 Demonstração de produtos
2,36,0.307197,0.36623,020040 Fundos seladores para proteção de chassis de veículos,360109 Serviços de fundos de previdência
2,37,0.649373,0.880774,020130 Corantes sob a forma de caneta para restauração de mobiliário,370060 Restauração de mobiliário
2,39,0.162397,0.206416,020040 Primer anticorrosivo para chassis de veículos,390044 Aluguel de veículos
2,40,0.45737,0.521503,020014 Pasta de prata,400007 Prateação [revestimento com prata]
2,41,0.248571,0.26984,020008 Pó de alumínio para pintura,410230 Serviços de pintura facial
2,42,0.290524,0.355583,"020137 Tintas para escrita, desenho ou impressão condutoras",420211 Análise da escrita [grafologia]
2,43,0.219727,0.255816,020067 Tintas para marcar animais,430134 Pensão para animais
2,44,0.354164,0.612204,020138 Tinta para tatuagem,440197 Serviço de tatuagem
2,45,0.248062,0.308003,020122 Tintas anti-incrustantes,450194 Monitorização de alarmes anti-roubo e de segurança
3,4,0.742358,0.778015,030179 Produtos para remover a pintura,040038 Produtos para remover pó
3,5,0.943071,1.0,"030031 Enxaguantes bucais, exceto para uso medicinal",050383 Enxaguantes bucais para uso medicinal
3,6,0.511961,0.532592,030209 Ar comprimido em lata para fins de limpeza,060267 Armaduras de metal para dutos de ar comprimido
3,7,0.814589,0.89057,030280 Detergentes para máquinas de lavar louças,070231 Máquinas de lavar louças
3,8,0.623557,0.740438,030041 Preparações para ondular os cabelos,080126 Aparelhos manuais para ondular cabelos
3,9,0.480453,0.592602,030212 Produtos para dar brilho às folhas das plantas,090283 Aparelhos para dar brilho às fotografias
3,10,0.71994,0.848932,"030265 Máscaras descartáveis aquecidas a vapor, exceto para fins medicinais",100288 Máscaras descartáveis aquecidas a vapor para fins terapêuticos
3,11,0.551554,0.578981,030266 Pastilhas de limpeza para máquinas de café,110383 Máquinas de café com purificadores de água
3,12,0.440643,0.497075,030126 Líquidos para limpeza de para-brisa,120121 Limpadores de para-brisa
3,13,0.415742,0.518556,030259 Algodão impregnado com preparações demaquilantes,130030 Algodão-pólvora
3,14,0.372713,0.435428,030228 Preparações polidoras para calçados,140119 Joias e bijuterias para calçados
3,15,0.207187,0.442538,030249 Cosméticos para crianças,150099 Instrumentos musicais para crianças
3,16,0.543565,0.619243,030067 Giz para limpeza,160112 Porta giz
3,17,0.486835,0.515584,030076 Soluções para decapagem,170114 Soluções de borracha
3,18,0.437703,0.454214,030073 Pastas para afiar navalha,180083 Pastas [malas]
3,19,0.527455,0.575831,030168 Pedras de alúmen [pedras-ume] [adstringente],190141 Pedras de construção
3,20,0.45201,0.479831,030007 Sabonete de amêndoas,"200378 Dispensadores de sabonete, exceto de metal"
3,21,0.735249,0.772351,030279 Detergentes para lavar louça,210304 Escovas para lavar louça
3,22,0.547466,0.852617,030160 Tela [tecido] abrasiva,220001 Tela de tecido para tabiques de ventilação
3,23,0.305805,0.624979,030259 Algodão impregnado com preparações demaquilantes,230002 Fios de algodão
3,24,0.620296,0.704806,030161 Tecido de vidro [tecido abrasivo],240048 Tecido para vidro [toalha]
3,25,0.550542,0.637784,030228 Preparações polidoras para calçados,250110 Calçados de madeira
3,26,0.636881,0.824985,030041 Preparações para ondular os cabelos,260039 Grampos para ondular os cabelos
3,27,0.443748,0.736335,030138 Preparações para limpeza de papel de parede,270007 Papel de parede
3,28,0.468224,0.53472,030171 Preparações para bronzear [cosméticos],280237 Cosméticos de brinquedo
3,29,0.57159,0.681465,030169 Leite de amêndoas para uso cosmético,290218 Leite de amêndoas
3,30,0.691705,0.758686,030204 Pulverizadores para refrescar o hálito,300271 Balas para refrescar hálito
3,31,0.474031,0.543977,030219 Preparações de aloe vera para uso cosmético,310148 Aloe vera [planta]
3,32,0.497025,0.569556,030027 Soda para branquear,320028 Água de soda
3,33,0.295736,0.421892,030289 Essências para perfumar,330024 Essências alcoólicas
3,34,0.368431,0.460399,030168 Pedras de alúmen [pedras-ume] [adstringente],340027 Pedras de isqueiro para fumantes
3,35,0.320263,0.357831,030028 Produtos para alvejar roupa,350023 Demonstração de produtos
3,36,0.149555,0.193142,030047 Cera para assoalhos e móveis,360132 Serviços bancários móveis
3,37,0.779933,0.864896,030145 Pedra-pomes,370069 Abrasão com pedra pomes
3,39,0.300175,0.343809,030249 Cosméticos para crianças,"390129 Aluguel de assentos de segurança para crianças, para veículos"
3,40,0.601144,0.663307,030091 Água de cheiro para perfumar,400082 Perfumar o ar
3,41,0.342732,0.475073,030058 Água de colônia [eau de cologne],410055 Colônia de férias
3,42,0.384749,0.442977,030227 Henna [tintura cosmética],420045 Pesquisas em cosmética
3,43,0.306201,0.410347,030058 Água de colônia [eau de cologne],430145 Colônia de férias [alojamento]
3,44,0.611074,1.0,030097 Cera para depilação,440213 Depilação com cera
3,45,0.316591,0.352713,030290 Cera de efeitos especiais para maquiagem,450219 Soltura de pombos para ocasiões especiais
4,5,0.704625,0.834594,040089 Óleo de rícino para uso industrial,050344 Óleo de rícino para uso medicinal
4,6,0.45602,0.65731,040013 Lenha para fogo,060431 Suportes para lenha [trasfogueiro]
4,7,0.548396,0.597216,040123 Combustível hidrogênio,070579 Bombas distribuidoras de hidrogênio para postos de combustível
4,8,0.413981,0.496573,040114 Cera para esquis,080274 Raspadores para esquis
4,9,0.430574,0.550152,040106 Energia elétrica,090213 Indicadores de perda elétrica
4,10,0.357251,0.525137,040123 Combustível hidrogênio,100257 Inaladores de hidrogênio
4,11,0.518972,0.542367,040061 Pavios de candeeiro,110042 Camisas de candeeiro
4,12,0.535126,0.587248,040123 Combustível hidrogênio,120328 Carros movidos a hidrogênio
4,13,0.47059,0.494456,040050 Gás de óleo,130008 Armas de gás lacrimogêneo
4,14,0.252384,0.341479,040026 Graxa para calçados,140119 Joias e bijuterias para calçados
4,15,0.210119,0.390551,040028 Cera para correias,150096 Correias [straps] para instrumentos musicais
4,16,0.432482,0.457454,040030 Cera industrial,160055 Cera para lacrar
4,17,0.471807,0.518254,040036 Óleos para desmoldar [construção],170052 Óleos isolantes
4,18,0.421818,0.460262,040028 Cera para correias,180033 Correias de arreios
4,19,0.517845,0.785786,040053 Òleo de coltar [óleo de alcatrão de hulha],190097 Alcatrão de hulha
4,20,0.359184,0.393399,040011 Graxa para armas,200118 Prateleiras para armas
4,21,0.58013,0.638719,040058 Preparações de óleo de soja para tratamento antiaderente de utensílios de cozinha,210273 Utensílios para cozinha
4,22,0.504049,0.599776,040006 Aparas de madeira para acender fogo,220004 Aparas de madeira para enchimento
4,23,0.301865,0.387973,040080 Óleo para uso têxtil,230018 Fios de borracha para uso têxtil
4,24,0.321197,0.353616,040026 Graxa para calçados,240021 Tecido para calçados
4,25,0.455319,0.519503,040009 Preparações antiderrapantes para correias,250001 Antiderrapantes para calçados
4,26,0.171407,0.28463,040067 Óleo de ossos para uso industrial,260012 Ossos de baleia para espartilhos
4,27,0.273477,0.528626,040009 Preparações antiderrapantes para correias,270012 Tapetes antiderrapantes
4,28,0.419231,0.496573,040114 Cera para esquis,280152 Esquis aquáticos
4,29,0.668429,0.783269,040065 Óleo de colza para uso industrial,290022 Óleo de colza para uso alimentar
4,30,0.567294,0.872215,040001 Cera de abelha*,300318 Cera de abelha comestível
4,31,0.535668,0.756119,040027 Cera [matéria-prima],310057 Pólen [matéria-prima]
4,32,0.35046,0.450731,040003 Álcool [combustível],320065 Cerveja sem álcool
4,33,0.159915,0.178879,040004 Combustível à base de álcool,330038 Bebidas à base de vinho
4,34,0.374181,0.533027,040046 Pavios para velas,340044 Pavios para isqueiros
4,35,0.212329,0.226465,040087 Óleo industrial,350025 Assessoria em gestão comercial ou industrial
4,36,0.228252,0.376461,040050 Gás de óleo,"360121 Avaliação financeira de custos de desenvolvimento relacionados com as indústrias de óleo, gás e mine"
4,37,0.455157,0.638566,040124 Gás natural,370174 Serviços de reabastecimento de gás natural para veículos motorizados
4,38,0.310448,0.334848,040118 Óleo de transmissão,380035 Transmissão por satélite
4,39,0.240037,0.477158,040106 Energia elétrica,390090 Distribuição de energia
4,40,0.476093,0.535266,040101 Fluidos de corte,400021 Corte de tecidos
4,41,0.446613,0.459061,040040 Gás para iluminação,410224 Serviços de técnico de iluminação para eventos
4,42,0.395738,0.457971,"040071 Petróleo, em bruto ou refinado",420095 Prospecção de petróleo
4,43,0.333998,0.429286,040117 Carvão para narguilé,430201 Serviços de bares para fumar narguilé
4,44,0.394546,0.457454,040030 Cera industrial,440213 Depilação com cera
4,45,0.281144,0.363685,040013 Lenha para fogo,450179 Combate ao fogo
5,6,0.48514,0.557453,050480 Sabonete medicinal,060506 Dispensadores de metal para sabonete
5,7,0.53522,0.591683,050058 Lama medicinal,070059 Coletores de lama [máquinas]
5,8,0.59938,0.706787,050086 Cocaína para fins medicinais,"080289 Dispositivos depilatórios a laser, exceto para fins medicinais"
5,9,0.728047,0.851923,050096 Substâncias para contraste radiológico para uso médico,"090429 Termômetros, exceto para uso médico"
5,10,1.0,1.0,050095 Contraceptivos químicos,"100184 Contraceptivos, exceto os químicos"
5,11,0.769852,0.769852,050050 Bálsamos para uso medicinal,"110360 Lâmpadas de cura, exceto para uso medicinal"
5,12,0.466037,0.575326,050440 Fraldas para animais de estimação,120311 Carrinhos de passeio para animais de estimação
5,13,0.444538,0.534232,050068 Cápsulas para remédios,130019 Estojos [cápsulas] de cartucho
5,14,0.498129,0.565805,050440 Fraldas para animais de estimação,140187 Joias e bijuterias para animais de estimação
5,15,0.207834,0.245732,050512 Rolos de moxa para moxabustão,150078 Rolos musicais
5,16,0.500858,0.601551,050440 Fraldas para animais de estimação,160371 Sacos plásticos para dejetos de animais de estimação
5,17,0.504123,0.548141,050028 Substâncias contra traças,170058 Substâncias para isolamento de construções contra umidade
5,18,0.665602,1.0,050087 Coleiras antiparasitas para animais,180030 Coleiras para animais*
5,19,0.442296,0.545266,050127 Magnésia para uso farmacêutico,190118 Cimento de magnésia
5,20,0.640547,0.709935,050509 Tapetes higiênicos descartáveis para forrar colchonetes para animais de estimação,200356 Almofadas para forrar colchonetes para animais de estimação
5,21,0.62713,0.696841,050440 Fraldas para animais de estimação,210473 Tapetes de lamber para animais de estimação
5,22,0.464251,0.553423,050170 Ervas medicinais,220044 Ervas para estofamento
5,23,0.364542,0.498633,050072 Algodão [chumaço] para uso medicinal,230002 Fios de algodão
5,24,0.721161,0.782755,"050497 Colchonetes, descartáveis, para a troca de fraldas de bebês",240120 Panos para troca de fraldas para bebês
5,25,0.461288,0.50289,050227 Ópio para fins médicos,"250195 Máscaras faciais [vestuário], exceto para fins médicos ou sanitários"
5,26,0.412542,0.535523,050294 Fitas adesivas para uso medicinal,260145 Fitas adesivas dupla face para vestuário [fashion tape]
5,27,0.211036,0.246205,050177 Sêmen para inseminação artificial,270003 Grama artificial
5,28,0.569059,0.696841,050440 Fraldas para animais de estimação,280004 Brinquedos para animais de estimação
5,29,0.70065,0.890429,050449 Leite em pó para bebês,290192 Leite em pó*
5,30,0.88292,0.944155,050148 Infusões medicinais,"300009 Infusões, exceto infusões medicinais"
5,31,0.665249,0.774087,050132 Cascas de árvore para uso farmacêutico,310139 Cascas de árvore em bruto
5,32,0.667277,0.747847,050130 Sais de água mineral,320015 Água mineral [bebida]
5,33,0.43358,0.518901,050122 Digestivos para uso farmacêutico,330012 Digestivos [licores e destilados]
5,34,0.534047,0.873823,050336 Ervas para fumar para uso medicinal,340028 Ervas para fumar *
5,35,0.351252,0.400132,050287 Preparações veterinárias,"350148 no atacado, de preparações sanitárias, farmacêuticas e veterinárias e de suprimentos médic"
5,36,0.303413,0.389922,050028 Substâncias contra traças,360034 Seguros contra incêndio
5,37,0.395981,0.422893,050413 Fraldas-calças para bebês,370102 Lavagem de fraldas
5,38,0.23569,0.390189,050259 Rádio para uso medicinal,380052 Comunicação por rádio
5,39,0.207441,0.247644,050334 Flores de enxofre para uso farmacêutico,390096 Entrega de flores
5,40,0.520143,0.71773,050453 Produtos farmacêuticos,400148 Biofabricação personalizada de produtos farmacêuticos
5,41,0.327021,0.428011,050440 Fraldas para animais de estimação,410261 Provimento de playgrounds para animais de estimação Simulated restaurant services provided in virtual environments for entertainment
5,42,0.316783,0.412913,050401 Preparações para desodorizar ambientes,420296 Hospedagem de ambientes virtuais
5,43,0.328137,0.444575,050298 Alimentos para bebês,430197 Decoração de alimentos
5,44,0.620542,1.0,050177 Sêmen para inseminação artificial,440194 Inseminação artificial
5,45,0.435996,0.523891,050440 Fraldas para animais de estimação,450198 Serviços de babá de animais de estimação
6,7,0.771026,0.817168,060357 Carretéis não mecânicos de metal para mangueiras flexíveis,070376 Carretéis mecânicos para mangueiras flexíveis
6,8,0.565637,0.673139,060096 Moldes em forma de concha [fundição],080176 Concha ou colher para fundição
6,9,0.90626,1.0,060353 Fios de cobre não isolados,090558 Fios de cobre isolados
6,10,0.562615,0.624922,060064 Ponteiras de metal para bengalas,100263 Bengalas para uso medicinal
6,11,0.634062,0.731819,060415 Dutos de metal para ventilação e instalações de ar condicionado,110014 Instalações de ar-condicionado
6,12,0.694215,0.767832,060013 Agulhas para estradas de ferro,120140 Vagões [estradas de ferro]
6,13,0.457084,0.591345,060370 Sinalizadores de metal,130035 Fogos sinalizadores
6,14,0.791992,0.869413,060493 Etiquetas de metal costuradas para vestuário,140185 Etiquetas de metal precioso costuradas para vestuário
6,15,0.509751,0.709032,060341 Cordas de metal,150090 Balalaicas [instrumentos de cordas]
6,16,0.640016,0.686246,060376 Chapas e placas de metal,160170 Chapas ou placas para gravar
6,17,0.754776,1.0,060173 Mangas de engate metálicas para canos,170067 Mangas de engate não metálicas para canos
6,18,0.6884,0.885774,060494 Etiquetas adesivas em metal para bolsas,180147 Etiquetas adesivas de couro para bolsas
6,19,1.0,1.0,060260 Janelas de batente metálicas,"190179 Janelas de batente, não metálicas"
6,20,1.0,1.0,"060451 Barras de apoio, metálicas, para banheiras",200290 Barras de apoio não metálicas para banheiras
6,21,0.62198,0.746142,060199 Cestos de metal,210340 Cestos para papel
6,22,0.710264,0.837937,060500 Redes de proteção feitas de metal para rochas,220123 Redes de proteção não metálicas para rochas
6,23,0.586612,0.691399,060184 Tecidos de fios de metal,230032 Fios de metal para bordados
6,24,0.563462,0.883552,060494 Etiquetas adesivas em metal para bolsas,240135 Etiquetas adesivas de tecido para bolsas
6,25,0.734684,0.846592,060471 Tacos de metal para saltos de sapatos,250131 Saltos de sapatos
6,26,0.496358,0.517367,060153 Fechos de molas,260010 Fechos para vestuário
6,27,0.386787,0.477176,060113 Capachos de metal,"270019 Capachos, resistentes ao fogo, para lareiras e churrasqueiras"
6,28,0.588106,0.604793,060024 Varas de metal,280210 Varas para salto com vara
6,29,0.439558,0.634804,060502 Folhas de alumínio para fins culinários,290262 Agraço para fins culinários
6,30,0.545607,0.685243,060150 Fôrmas de metal para gelo,300076 Gelo [água congelada]
6,31,0.470169,0.513157,060044 Correntes para gado,310014 Sal para gado
6,32,0.30532,0.482097,060356 Canos de metal para escoamento de águas,320012 Águas [bebidas]
6,33,0.125303,0.190081,060439 Casas pré-fabricadas [prontas para montar] de metal,330035 Bebidas alcóolicas prontas
6,34,0.310166,0.364365,060398 Recipientes de metal,340032 Recipientes para fumo
6,35,0.367154,0.399623,060375 Folha de estanho,350067 Preparação de folha de pagamento
6,36,0.344727,0.411605,060066 Cofres de segurança,360022 Serviços de depósito em cofres bancários
6,37,0.737481,0.851207,060056 Bronzes [obras de arte],370126 Restauração de obras de arte
6,38,0.341774,0.518078,060427 Cabo de aço,380021 Teledifusão por cabo
6,39,0.53548,0.598674,060083 Chaves de metal,390121 Armazenamento temporário de chaves
6,40,0.685017,1.0,060056 Bronzes [obras de arte],400084 Molduragem de obras de arte
6,41,0.545663,0.932083,060056 Bronzes [obras de arte],410212 Aluguel de obras de arte
6,42,0.603308,0.846851,060056 Bronzes [obras de arte],420132 Autenticação de obras de arte
6,43,0.442253,0.76221,060170 Construções transportáveis de metal,430160 Aluguel de construções transportáveis
6,44,0.378242,0.434494,060028 Protetores de metal para árvores,440166 Cirurgia de árvores
6,45,0.473198,0.652839,060066 Cofres de segurança,450215 Aluguel de cofres
7,8,0.969101,1.0,"070585 Fatiadores de queijo, elétricos","080248 Fatiadores de queijo, não elétricos"
7,9,0.712077,0.841034,070331 Dispositivos elétricos para cortinas,090163 Dispositivos elétricos para comutação
7,10,0.648542,0.794859,"070582 Trajes exoesqueléticos robóticos, exceto para fins medicinais",100264 Trajes exoesqueléticos robóticos para uso médico
7,11,0.829985,0.865485,070311 Bombas para instalações de aquecimento,110073 Instalações de aquecimento
7,12,1.0,1.0,"070253 Mecanismos de transmissão, exceto para veículos terrestres",120142 Mecanismos de transmissão para veículos terrestres
7,13,0.5374,0.734312,070477 Pistolas [ferramentas que utilizam cartuchos explosivos],130003 Cartuchos explosivos
7,14,0.443238,0.473328,070212 Mecanismos para teares,140023 Mecanismos de relógios
7,15,0.481874,0.540121,070377 Tímpanos [tipografia],150020 Cavaletes para tímpanos
7,16,0.612611,0.749915,070139 Cilindros para máquinas,160118 Cilindros para máquinas de escrever
7,17,0.577954,0.607272,070576 Canetas de impressão em 3d,170125 Filamentos plásticos para impressão 3d
7,18,0.559701,0.614467,070041 Armações para máquinas,180004 Armações de selas
7,19,0.534152,0.622773,070420 Rodas de oleiro,190011 Argila de oleiro
7,20,0.767135,0.879927,070376 Carretéis mecânicos para mangueiras flexíveis,200103 Carretéis não metálicos e não mecânicos para mangueiras flexíveis
7,21,1.0,1.0,070403 Batedores elétricos,210238 Batedores não elétricos
7,22,0.582635,0.687246,070478 Aparelhos para içamento de redes [pesca],220011 Redes de pesca comerciais
7,23,0.285656,0.370894,070604 Agulhas para máquinas cardadoras de lã,230004 Fios de lã
7,24,0.473061,0.616658,070206 Máquinas para estampagem,240060 Tecidos de seda para estampagem
7,25,0.584503,0.64679,070041 Armações para máquinas,250028 Armações de chapéus
7,26,0.609362,0.733719,070283 Máquinas para debruar,260096 Fitas para debruar
7,27,0.341011,0.445684,070518 Esteiras rolantes,270009 Esteiras de junco
7,28,0.638221,0.715302,070511 Máquinas para encordoar raquetes,280277 Fitas de aderência para raquetes
7,29,0.711123,0.819598,"070455 Máquinas raladoras de frutas, legumes e verduras","290066 Preparações para sopas [frutas, legumes e verduras]"
7,30,0.539992,0.78917,070609 Máquinas para fazer molho de soja,300179 Molho de soja
7,31,0.604193,0.743123,070089 Descascadores de grãos e cereais,310066 Grãos [cereais]
7,32,0.544921,0.607286,070390 Bombas para cerveja,320005 Cerveja não fermentada [mosto de cerveja]
7,33,0.303358,0.357608,070390 Bombas para cerveja,"330026 Bebidas alcoólicas, exceto cerveja"
7,34,0.512929,0.590671,070255 Máquinas para processar tabaco,340037 Escarradeira para usuários de tabaco
7,35,0.448663,0.64379,070537 Máquinas automáticas de venda,350089 Aluguel de máquinas de autosserviço Aluguel de máquinas automáticas de venda
7,36,0.271586,0.344605,070097 Carros corrediça para máquinas de tricotar,360141 Serviços de corretor de carros
7,37,0.905083,0.954006,070328 Máquinas para passar roupa,370062 Prensagem para passar roupa
7,38,0.401518,0.596059,070619 Splicers de fusão de fibra óptica,380030 Comunicação por redes de fibra óptica
7,39,0.719998,0.891758,070537 Máquinas automáticas de venda,390115 Reabastecimento de máquinas automáticas de venda
7,40,0.833832,0.959529,070266 Máquinas para moagem de farinha,400044 Moagem de farinha
7,41,0.413878,0.489083,070005 Bombas de aeração para aquários,410213 Aluguel de aquários indoor
7,42,0.567174,0.621624,070598 Robôs domésticos para limpeza e lavanderia com inteligência artificial,420277 Consultoria em inteligência artificial
7,43,0.493349,0.786719,070164 Aparelhos para a mineralização de água potável,430191 Aluguel de dispensadores de água potável
7,44,0.497861,0.541091,070616 Centros de usinagem para metalurgia,440209 Serviços de centros médicos
7,45,0.367718,0.443147,070239 Máquinas para torcer roupas,450081 Aluguel de roupas
8,9,0.556475,0.583035,080162 Coletores de dinheiro,090129 Coletores elétricos
8,10,0.54493,0.572629,"080262 Pistolas para calafetar, não elétricas",100300 Pistolas de massagem elétricas
8,11,0.51391,0.531857,080181 Atiçadores [ferros para atiçar fogo],110086 Aquecedores para ferros
8,12,0.517237,0.752075,080265 Bombas de ar manuais,120009 Bombas de ar [acessórios de veículos]
8,13,0.524293,0.643577,080247 Cintos porta-ferramentas,130074 Cintos porta-munição
8,14,0.373966,0.423352,080186 Porta-serras,140166 Porta-joias
8,15,0.372129,0.53838,080063 Chaves de boca,150014 Harmônicas [gaitas de boca]
8,16,0.639003,0.798801,080256 Aparelhos para fazer tatuagens,160263 Aparelhos para fazer vinhetas
